date,circulation,n_1_1,n_1_2,n_1_3,n_1_4,n_2_1,n_2_2,n_2_3,n_2_4,prize
08.07.2020 10:00,2015,5,16,17,20,5,8,10,19,744 218 491 
07.07.2020 22:00,2014,5,6,10,18,4,6,12,20,742 904 671 
07.07.2020 16:00,2013,2,3,9,17,7,8,16,17,742 155 613 
07.07.2020 13:00,2012,3,8,12,20,2,4,7,9,741 358 418 
07.07.2020 10:00,2011,1,3,5,6,11,12,14,17,740 188 834 
06.07.2020 22:00,2010,4,11,13,19,2,4,17,20,738 867 452 
06.07.2020 16:00,2009,4,11,18,19,6,7,12,19,738 144 912 
06.07.2020 13:00,2008,3,8,9,17,1,14,18,19,737 413 646 
06.07.2020 10:00,2007,6,11,12,20,3,5,15,18,736 393 020 
05.07.2020 22:00,2006,1,3,4,20,8,11,13,17,735 212 573 
05.07.2020 16:00,2005,1,4,13,17,6,16,18,20,734 491 349 
05.07.2020 13:00,2004,2,11,15,16,2,12,15,16,733 723 037 
05.07.2020 10:00,2003,5,12,18,19,4,7,10,18,732 978 212 
04.07.2020 22:00,2002,3,6,18,20,1,7,9,18,731 835 277 
04.07.2020 16:00,2001,1,3,5,11,3,7,12,19,731 083 482 
04.07.2020 13:00,2000,5,10,13,14,3,5,12,18,730 247 766 
04.07.2020 10:00,1999,4,5,6,10,8,11,13,20,729 163 754 
03.07.2020 22:00,1998,5,10,12,15,4,10,12,20,727 857 734 
03.07.2020 16:00,1997,2,5,7,11,6,15,19,20,727 104 626 
03.07.2020 13:00,1996,6,9,15,17,1,6,7,8,726 329 999 
03.07.2020 10:00,1995,5,11,12,15,3,7,17,20,725 233 106 
02.07.2020 22:00,1994,4,14,17,19,3,7,8,9,723 886 853 
02.07.2020 16:00,1993,4,15,16,17,8,9,16,20,723 060 594 
02.07.2020 13:00,1992,3,5,13,16,9,12,19,20,722 229 879 
02.07.2020 10:00,1991,1,3,12,20,4,16,18,20,721 012 143 
01.07.2020 22:00,1990,4,8,16,19,8,12,15,18,719 624 036 
01.07.2020 16:00,1989,2,4,16,20,4,13,17,18,718 666 767 
01.07.2020 13:00,1988,2,10,11,15,3,4,13,15,717 742 953 
